impl,n,q,total_ns,total_s,ns_per_search,cache_refs,cache_misses,misses_per_search,miss_rate,bytes,l1_refs,l1_misses,l1_rate,l2_refs,l2_misses,l2_rate,l3_refs,l3_misses,l3_rate,branches,branch_misses,branch_rate
BST_EYT_PREF,6000000,10000000,2.41118e+09,2.41118,241.118,2.71331e+08,6.91269e+07,6.91269,0.25477,22840668,4.80784e+08,1.21457e+08,0.252622,0,0,0,9.06528e+06,406522,0.0448439,5.85701e+08,5.97992e+07,0.102098
BST_EYT_PREF_TWO,6000000,10000000,2.91716e+09,2.91716,291.716,2.86049e+08,7.21066e+07,7.21066,0.252078,22840668,8.91447e+08,1.02779e+08,0.115295,0,0,0,7.76819e+06,255501,0.0328907,9.22253e+08,6.38332e+07,0.0692144
BST_EYT_PREF_THREE,6000000,10000000,2.47259e+09,2.47259,247.259,2.72535e+08,6.9811e+07,6.9811,0.256155,22840668,1.67699e+09,8.34518e+07,0.0497628,0,0,0,7.14099e+06,110713,0.0155039,1.82495e+09,3.18954e+06,0.00174774
BST_EYT_PREF_FOUR,6000000,10000000,7.28272e+09,7.28272,728.272,6.25159e+08,8.82906e+07,8.82906,0.141229,22840668,4.76736e+09,7.4428e+07,0.015612,0,0,0,9.4952e+06,29143,0.00306923,6.31629e+09,6.23046e+07,0.00986412
BST_EYT_PREF_PROB,6000000,10000000,3.16443e+09,3.16443,316.443,2.06009e+08,5.55407e+07,5.55407,0.269603,22840668,3.01646e+08,9.71767e+07,0.322155,0,0,0,5.90051e+07,1.33821e+07,0.226796,5.44819e+08,5.81483e+07,0.106729
BST_VEB,6500000,10000000,2.52008e+09,2.52008,252.008,3.90134e+08,1.84224e+08,18.4224,0.472207,24738920,2.86767e+08,1.34841e+08,0.470213,0,0,0,7.38235e+07,2.38897e+07,0.323606,4.23709e+08,5.98274e+07,0.141199
BST_EYT,6500000,10000000,2.73073e+09,2.73073,273.073,2.13401e+08,5.90764e+07,5.90764,0.276832,24738920,1.59446e+08,1.004e+08,0.629677,0,0,0,6.0761e+07,1.41148e+07,0.2323,3.63166e+08,5.49174e+07,0.151218
BST_EYT_PREF,6500000,10000000,2.4236e+09,2.4236,242.36,2.86872e+08,7.3678e+07,7.3678,0.256833,24738920,4.83113e+08,1.23373e+08,0.255371,0,0,0,9.52732e+06,428876,0.0450154,5.8845e+08,5.98397e+07,0.10169
BST_EYT_PREF_TWO,6500000,10000000,2.96259e+09,2.96259,296.259,2.91211e+08,7.71956e+07,7.71956,0.265085,24738920,8.95312e+08,1.04883e+08,0.117147,0,0,0,8.58422e+06,283770,0.0330572,9.27404e+08,6.39777e+07,0.0689857
BST_EYT_PREF_THREE,6500000,10000000,2.53145e+09,2.53145,253.145,2.75088e+08,7.47375e+07,7.47375,0.271685,24738920,1.68513e+09,8.54989e+07,0.0507373,0,0,0,8.14051e+06,114944,0.01412,1.83489e+09,2.8037e+06,0.001528
BST_EYT_PREF_FOUR,6500000,10000000,7.37057e+09,7.37057,737.057,6.34728e+08,9.38241e+07,9.38241,0.147818,24738920,4.79365e+09,7.58169e+07,0.0158161,0,0,0,9.83149e+06,30718.4,0.00312449,6.34703e+09,6.29455e+07,0.00991731
